Linhas de fornecimento,Lista de municipios
"Linha de Fornecimento 585: MAPAS HIDROGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS",Município 7692: Coroatá
"Linha de Fornecimento 586: MAPAS TOPOGRÁFICOS, CARTAS E PRODUTOS GEODÉSICOS",Município 7706: ARMACAO DE BUZIOS
"Linha de Fornecimento 587: MAPAS DIGITAIS, CARTAS E PRODUTOS GEODÉSICOS",Município 7714: Cururupu
Linha de Fornecimento 588: DESENHOS E ESPECIFICAÇÕES,Município 7722: CARAPEBUS
Linha de Fornecimento 589: FOLHAS E LIVROS DE MÚSICA,Município 7730: Dom Pedro
Linha de Fornecimento 590: MICROFILMES REVELADOS,Município 7749: Iguaba Grande
Linha de Fornecimento 591: IMPRESSOS DIVERSOS,Município 7757: Duque Bacelar
Linha de Fornecimento 592: INSTRUMENTOS MUSICAIS,Município 7765: Macuco
Linha de Fornecimento 593: PEÇAS E ACESSÓRIOS DE INSTRUMENTOS MUSICAIS,Município 7773: Esperantinópolis
"Linha de Fornecimento 594: FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO 
DOMÉSTICO",Município 7781: PINHEIRAL
Linha de Fornecimento 595: DISCOS PARA FONÓGRAFO,Município 7790: Fortaleza dos Nogueiras
Linha de Fornecimento 596: EQUIPAMENTO PARA ATLETISMO E DESPORTO,Município 7803: Porto Real
"Linha de Fornecimento 597: JOGOS, BRINQUEDOS E ARTIGOS CORRELATOS COM RODAS",Município 7811: Fortuna
Linha de Fornecimento 598: EQUIPAMENTO PARA GINÁSTICA E RECREAÇÃO,Município 7820: São Francisco de Itabapoana
Linha de Fornecimento 599: ENCERADEIRAS E ASPIRADORES DE PÓ,Município 7838: Godofredo Viana
"Linha de Fornecimento 600: VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES",Município 7854: Gonçalves Dias
Linha de Fornecimento 601: COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO,Município 7862: SEROPÉDICA
"Linha de Fornecimento 602: TINTAS, VERNIZES E PRODUTOS CORRELATOS",Município 7870: Governador Archer
Linha de Fornecimento 603: PINCEL PARA ARTISTAS E PINTORES,Município 7889: Tanguá
Linha de Fornecimento 604: COMPOSTOS PRESERVATIVOS E VEDANTES,Município 7897: Governador Eugênio Barros
Linha de Fornecimento 605: ADESIVOS,Município 7900: Arco-Iris
Linha de Fornecimento 606: SACOS E BOLSAS,Município 7919: Graça Aranha
Linha de Fornecimento 607: TAMBORES E LATAS,Município 7935: Grajaú
"Linha de Fornecimento 608: CAIXAS, CAIXOTES E ENGRADADOS",Município 7951: Guimarães
Linha de Fornecimento 609: CILINDROS COMERCIAIS E INDUSTRIAIS PARA GASES,Município 7960: FERNAO
Linha de Fornecimento 610: GARRAFAS E JARROS,Município 7978: Humberto de Campos
Linha de Fornecimento 611: CARRETÉIS E BOBINAS,Município 7986: Gavião Peixoto
"Linha de Fornecimento 612: MATERIAIS A GRANEL PARA ACONDICIONAMENTO E 
EMBALAGEM",Município 7994: Icatu
"Linha de Fornecimento 613: CAIXAS, RECIPIENTES E EMBALAGENS ESPECIAIS PARA 
ARMAMENTO NUCLEAR E MUNIÇÃO",Município 8010: Igarapé Grande
"Linha de Fornecimento 614: RECIPIENTES ESPECIALIZADOS PARA TRANSPORTE E 
ARMAZENAGEM",Município 8036: Imperatriz
Linha de Fornecimento 615: TECIDOS,Município 8052: São Luis Gonzaga do Maranhão
Linha de Fornecimento 616: FIOS E LINHAS,Município 8079: Itapecuru Mirim
Linha de Fornecimento 617: MIUDEZAS E AVIAMENTOS PARA COSTURA,Município 8095: João Lisboa
Linha de Fornecimento 618: MATERIAIS PARA ESTOFAMENTO E ACOLCHOAMENTO,Município 8117: Joselândia
Linha de Fornecimento 619: PELES,Município 8133: Lago da Pedra
Linha de Fornecimento 620: COUROS,Município 8150: Lago do Junco
Linha de Fornecimento 621: MATERIAIS PARA CALÇADOS,Município 8176: Lago Verde
Linha de Fornecimento 622: BARRACAS E ENCERADOS,Município 8192: Lima Campos
"Linha de Fornecimento 623: BANDEIRAS, FLAMULAS E PAVILHOES",Município 8214: Loreto
Linha de Fornecimento 624: VESTUÁRIO EXTERNO MASCULINO,Município 8230: Luis Domingues
Linha de Fornecimento 625: VESTUÁRIO EXTERNO FEMININO,Município 8257: Magalhães de Almeida
Linha de Fornecimento 626: VESTUÁRIO PARA FINS ESPECIAIS,Município 8265: TRABIJU
"Linha de Fornecimento 627: ROUPAS ÍNTIMAS E PARA DORMIR, MASCULINAS",Município 8273: Mata Roma
"Linha de Fornecimento 628: ROUPAS ÍNTIMAS E PARA DORMIR, FEMININAS",Município 8290: Matinha
Linha de Fornecimento 629: CALÇADOS MASCULINOS,Município 8303: ARAPUA
Linha de Fornecimento 630: CALÇADOS FEMININOS,Município 8311: Matões
"Linha de Fornecimento 631: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUARIO 
MASCULINO",Município 8338: Mirador
"Linha de Fornecimento 632: MEIAS, LUVAS E OUTROS COMPLEMENTOS DO VESTUÁRIO 
FEMININO",Município 8346: BELA VISTA DA CAROBA
Linha de Fornecimento 633: VESTUÁRIO INFANTO-JUVENIL E COMPLEMENTOS,Município 8354: Mirinzal
Linha de Fornecimento 634: DISTINTIVOS E INSÍGNIAS,Município 8362: BOA VENTURA DE SÃO ROQUE
Linha de Fornecimento 635: BAGAGENS,Município 8370: Monção
Linha de Fornecimento 636: EQUIPAMENTOS INDIVIDUAIS,Município 8389: BOM JESUS DO SUL
Linha de Fornecimento 637: ROUPAS DE PROTEÇÃO CONTRA PROJÉTEIS,Município 8397: Montes Altos
Linha de Fornecimento 638: VESTUÁRIO ESPECIALIZADO PARA VÔO E ACESSÓRIOS,Município 8419: Morros
"Linha de Fornecimento 639: PERFUMES, ARTIGOS PARA TOALETE E TOUCADOR",Município 8427: Campo Magro
"Linha de Fornecimento 640: SABONETES, ARTIGOS PARA BARBEAR E DENTIFRÍCIOS",Município 8435: Nina Rodrigues
Linha de Fornecimento 641: ARTIGOS PARA HIGIENE PESSOAL,Município 8451: Nova Iorque
Linha de Fornecimento 642: ARTIGOS DE PAPEL PARA HIGIENE,Município 8478: Olho D´Água das Cunhãs
Linha de Fornecimento 643: FORRAGENS E ALIMENTOS,Município 8486: CRUZMALTINA
Linha de Fornecimento 644: FERTILIZANTES,Município 8494: Paço do Luimar
Linha de Fornecimento 645: SEMENTES E MUDAS DE PLANTAS,Município 8516: Palmeirândia
"Linha de Fornecimento 646: ANIMAIS VIVOS, CRIADOS PARA ALIMENTAÇÃO",Município 8524: ESPIGÃO ALTO DO IGUAÇU
"Linha de Fornecimento 647: ANIMAIS VIVOS, NÃO CRIADOS PARA ALIMENTAÇÃO",Município 8532: Paraibano
"Linha de Fornecimento 648: CARNES, AVES E PEIXES",Município 8540: FERNANDES PINHEIRO
Linha de Fornecimento 649: OVOS E LATICÍNIOS,Município 8559: Parnarama
"Linha de Fornecimento 650: FRUTAS, VERDURAS E LEGUMES",Município 8567: Foz do Jordão
Linha de Fornecimento 651: PRODUTOS DE PANIFICAÇÃO E CEREAIS,Município 8575: Passagem Franca
"Linha de Fornecimento 652: AÇÚCAR, CONFEITOS, CASTANHAS, NOZES E SIMILARES",Município 8583: GOIOXIM
"Linha de Fornecimento 653: GELEIAS, CONSERVAS E GELATINAS",Município 8591: Pastos Bons
Linha de Fornecimento 654: SOPAS E CALDOS,Município 8613: Pedreiras
"Linha de Fornecimento 655: ALIMENTOS ESPECIAIS DIETÉTICOS E PREPARADOS 
ALIMENTÍCIOS",Município 8630: Penalva
Linha de Fornecimento 656: ÓLEOS E GORDURAS COMESTÍVEIS,Município 8648: MANFRINOPOLIS
Linha de Fornecimento 657: CONDIMENTOS E PRODUTOS CORRELATOS,Município 8656: Peri-Mirim
"Linha de Fornecimento 658: CAFÉ, CHÁ E CHOCOLATE",Município 8664: MARQUINHO
Linha de Fornecimento 659: BEBIDAS NÃO ALCOÓLICAS,Município 8672: Pindaré Mirim
Linha de Fornecimento 660: BEBIDAS ALCOÓLICAS,Município 8699: Pinheiro
Linha de Fornecimento 661: RAÇÕES EMBALADAS,Município 8702: PONTAL DO PARANÁ
Linha de Fornecimento 662: PRODUTOS DE TABACO,Município 8710: Pio XII
Linha de Fornecimento 663: COMBUSTÍVEIS SÓLIDOS,Município 8729: PORTO BARREIRO
"Linha de Fornecimento 664: COMBUSTÍVEIS E PROPELENTES LÍQUIDOS À BASE DE 
PETRÓLEO",Município 8737: Pirapemas
"Linha de Fornecimento 665: COMBUSTÍVEIS PROPELENTES LÍQUIDOS E OXIDANTES Á 
BASE QUÍMICA",Município 8753: Poção de Pedras
Linha de Fornecimento 666: ÓLEOS COMBUSTÍVEIS,Município 8761: QUARTO CENTENÁRIO
"Linha de Fornecimento 667: ÓLEOS E GRAXAS PARA CORTE, LUBRIFICAÇÃO E 
SISTEMAS HIDRÁULICOS",Município 8770: Porto Franco
"Linha de Fornecimento 668: CERAS, ÓLEOS E GORDURAS DIVERSOS",Município 8796: Presidente Dutra
Linha de Fornecimento 669: PAPÉIS E PAPELÕES,Município 8800: RIO BRANCO DO IVAI
Linha de Fornecimento 670: ARTIGOS DE BORRACHA,Município 8818: Presidente Juscelino
Linha de Fornecimento 671: ARTIGOS DE PLÁSTICO,Município 8826: Serranópolis do Iguaçu
Linha de Fornecimento 672: ARTIGOS DE VIDRO,Município 8834: Presidente Vargas
"Linha de Fornecimento 673: MATERIAIS REFRATÁRIOS E DE ACABAMENTO 
SUPERFICIAL CONTRA FOGO",Município 8850: Primeira Cruz
Linha de Fornecimento 674: PRODUTOS DIVERSOS NÃO METÁLICOS,Município 8869: alto bela vista
Linha de Fornecimento 675: MATÉRIAS-PRIMAS DE ORIGEM VEGETAL,Município 8877: Riachão
"Linha de Fornecimento 676: FIBRAS VEGETAIS, ANIMAIS E SINTÉTICAS",Município 8893: São José de Ribamar
"Linha de Fornecimento 677: MATÉRIAS-PRIMAS DIVERSAS DE ORIGEM ANIMAL, NÃO 
COMESTÍVEIS",Município 8907: BALNEARIO GAIVOTA
"Linha de Fornecimento 678: MATÉRIAS-PRIMAS DIVERSAS, FLORESTAIS E AGRÍCOLAS",Município 8915: Rosário
"Linha de Fornecimento 679: RESÍDUOS NAO METÁLICOS, EXCETO OS TÊXTEIS",Município 8923: BANDEIRANTE
"Linha de Fornecimento 680: ARAMES DE FERRO E DE AÇO, NÃO UTILIZÁVEIS EM 
ELETRICIDADE",Município 8931: Sambaiba
Linha de Fornecimento 681: BARRAS E VERGALHÕES DE FERRO E DE AÇO,Município 8958: Santa Helena
"Linha de Fornecimento 682: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE FERRO 
E DE AÇO",Município 8974: Santa Luzia
Linha de Fornecimento 683: PERFIS ESTRUTURAIS DE FERRO E AÇO,Município 8982: BOCAINA DO SUL
"Linha de Fornecimento 684: ARAMES DE METAL NÃO FERROSO, NÃO UTILIZÁVEIS EM 
ELETRICIDADE",Município 8990: Santa Quitéria do Maranhão
Linha de Fornecimento 685: BARRAS E VERGALHÕES DE METAIS NÃO FERROSOS,Município 9008: BOM JESUS
"Linha de Fornecimento 686: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE 
METAIS NÃO FERROSOS",Município 9016: Santa Rita
Linha de Fornecimento 687: PERFIS ESTRUTURAIS DE METAIS NÃO FERROSOS,Município 9024: BOM JESUS DO OESTE
"Linha de Fornecimento 688: PLACAS, CHAPAS, FITAS E LAMINADOS FINOS DE 
METAIS PRECIOSOS",Município 9032: Santo Antônio dos Lopes
Linha de Fornecimento 689: MINÉRIOS,Município 9059: São Benedito do Rio Preto
Linha de Fornecimento 690: MINERAIS NATURAIS E SINTÉTICOS,Município 9075: São Bento
Linha de Fornecimento 691: ADITIVOS METÁLICOS E LIGAS BÁSICAS,Município 9091: São Bernardo
"Linha de Fornecimento 692: PRODUTOS SEMI-ACABADOS E PRODUTOS PRIMÁRIOS DE 
FERRO E DE AÇO",Município 9113: São Domingos do Maranhão
"Linha de Fornecimento 693: REFINADOS E PRODUTOS SEMI-ACABADOS DE METAIS 
BÁSICOS NÃO FERROSOS",Município 9121: ENTRE RIOS
Linha de Fornecimento 694: METAIS PRECIOSOS EM SUAS FORMAS PRIMÁRIAS,Município 9130: São Félix de Balsas
Linha de Fornecimento 695: SUCATA DE FERRO E DE AÇO,Município 9156: São Francisco do Maranhão
Linha de Fornecimento 696: SUCATA DE METAIS NÃO FERROSOS,Município 9164: FLOR DO SERTAO
"Linha de Fornecimento 697: CARTAZES, MOSTRUÁRIOS E PLACAS DE IDENTIFICAÇÃO",Município 9172: São João Batista
Linha de Fornecimento 698: ARTIGOS DE JOALHERIA,Município 9199: São João dos Patos
Linha de Fornecimento 699: ARTIGOS PARA COLECIONADORES E/OU HISTÓRICOS,Município 9202: IBIAM
Linha de Fornecimento 700: ARTIGOS PARA FUMANTES,Município 9210: São Luis
Linha de Fornecimento 701: EQUIPAMENTOS E ARTIGOS RELIGIOSOS,Município 9229: IOMERE
Linha de Fornecimento 702: EQUIPAMENTOS E ARTIGOS MORTUÁRIOS E DE CEMITÉRIO,Município 9237: São Mateus do Maranhão
Linha de Fornecimento 703: SERVICO,Município 9253: São Raimundo das Mangabeiras
Linha de Fornecimento 704: ITENS DIVERSOS,Município 9261: LUZERNA
"Linha de Fornecimento 705: Estudos e Projetos Viabilidade Técnico - 
Econômica de Aproveitamento Hidrelétrico",Município 9270: São Vicente Ferrer
"Linha de Fornecimento 706: Estudos e Projetos de Viabilidade Técnico - 
Econômica de Usinas Termoelétricas / Termonucleares",Município 9296: Sítio Novo
"Linha de Fornecimento 707: Estudos e Projetos de Viabilidade Técnico - 
Econômica de Unidades Industriais",Município 9318: Sucupira do Norte
"Linha de Fornecimento 708: Estudos e Projetos Viabilidade Técnico - 
Econômica de Recursos Naturais",Município 9334: Tasso Fragoso
"Linha de Fornecimento 709: Estudos e Projetos Urbanísticos / Paisagísticos 
/ Arquitetô-nicos",Município 9342: PRINCESA
Linha de Fornecimento 710: Estudos e Projetos de Assentamento Populacional,Município 9350: Timbiras
Linha de Fornecimento 711: Estudos e Projetos de Arquitetura,Município 9377: Timon
"Linha de Fornecimento 712: Estudos e Projetos de Meio Ambiente - Plano 
Diretor",Município 9393: Tuntum
"Linha de Fornecimento 713: Estudos e Projetos de Meio Ambiente - Avaliação 
e Elaboraçãodo Relatório de Impacto",Município 9415: Turiaçu
"Linha de Fornecimento 714: Estudos e Projetos de Meio Ambiente - 
Confiabilidade e Análise de Risco",Município 9431: Tutóia
Linha de Fornecimento 715: Estudos e Projetos de Meio Ambiente Físico,Município 9440: São Pedro de Alcântara
Linha de Fornecimento 716: Estudos e Projetos de Meio Ambiente Biótico,Município 9458: Urbano Santos
"Linha de Fornecimento 717: Estudos e Projetos de Meio Ambiente, 
Sócio-Econômico, Cultural",Município 9474: Vargem Grande
"Linha de Fornecimento 718: Estudos e Projetos de Fundações Diretas e 
Profundas",Município 9482: Treviso
"Linha de Fornecimento 719: Estudos e Projetos de Cortes, Aterros e 
Escoramentos",Município 9490: Viana
"Linha de Fornecimento 720: Estudos e Projetos de Rebaixamento de Lençol 
D´água",Município 9504: ZORTÉA
"Linha de Fornecimento 721: Estudos e Projetos de Estruturas - Concreto 
Armado",Município 9512: Vitória do Mearim
"Linha de Fornecimento 722: Estudos e Projetos de Estruturas - Concreto 
Protendido",Município 9520: ARARICÁ
Linha de Fornecimento 723: Estudos e Projetos de Estruturas - Metálicas,Município 9539: Vitorino Freire
"Linha de Fornecimento 724: Estudos e Projetos de Recuperação e Reforço de 
Estruturas",Município 9547: BALNEARIO PINHAL
Linha de Fornecimento 725: Estudos e Projetos de Instalação Elétrica,Município 9555: Bom Jardim
Linha de Fornecimento 726: Estudos e Projetos de Instalação Hidro-Sanitária,Município 9563: BARRA DO QUARAI
Linha de Fornecimento 727: Estudos e Projetos de Instalação Telefônica,Município 9571: Santa Inês
"Linha de Fornecimento 728: Estudos e Projetos de Instalação de Gás - 
Instalações Pre-Diais / Industriais",Município 9598: Paulo Ramos
Linha de Fornecimento 729: Estudos e Projetos de Instalação Eletrônica,Município 9601: Boa Vista do Sul
Linha de Fornecimento 730: Estudos e Projetos - Instalações Prediais,Município 9610: Açailândia
Linha de Fornecimento 731: Estudos e Projetos de Instalação de Som Ambiente,Município 9628: Capivari do Sul
"Linha de Fornecimento 732: Estudos e Projetos de Saneamento - Captação, 
Adução e Distribuição de Água",Município 9636: Estreito
"Linha de Fornecimento 733: Estudos e Projetos de Saneamento - Tratamento de 
Água",Município 9644: CARAÁ
"Linha de Fornecimento 734: Estudos e Projetos de Saneamento - Sistema de 
Esgoto Sanitá-rio",Município 9652: Careiro da Várzea
"Linha de Fornecimento 735: Estudos e Projetos de Saneamento - Tratamento 
Despejo Sanitário",Município 9660: CERRITO
"Linha de Fornecimento 736: Estudos e Projetos de Saneamento - Tratamento 
Despejo Industrial",Município 9679: Guajará
"Linha de Fornecimento 737: Estudos e Projetos de Saneamento - Sistema de 
Drenagem Pluvial",Município 9687: Chuí
"Linha de Fornecimento 738: Estudos e Projetos de Saneamento - Sistema de 
Drenagem Industrial",Município 9695: Apui
"Linha de Fornecimento 739: Estudos e Projetos de Tratamento de Rejeitos 
Radioativos",Município 9717: Teotônio Vilela
Linha de Fornecimento 740: Estudos e Projetos de Geotecnia e Geologia,Município 9725: CRISTAL DO SUL
Linha de Fornecimento 741: Estudos e Projetos de Barragens e Diques,Município 9733: Forquilhinha
Linha de Fornecimento 742: Estudos e Projetos de Modelo Reduzido,Município 9741: DILERMANDO DE AGUIAR
Linha de Fornecimento 743: Estudos e Projetos de Obras Marítimas,Município 9750: Theobromaa
Linha de Fornecimento 744: Estudos e Projetos de Hidrologia,Município 9768: DOM PEDRO DE ALCÂNTARA
Linha de Fornecimento 745: Estudos e Projetos de Hidrografia e Oceanografia,Município 9776: Urupá
Linha de Fornecimento 746: Estudos e Projetos de Meteorologia,Município 9792: Vale do Paraiso
Linha de Fornecimento 747: Estudos e Projetos de Túneis,Município 9806: Esperança do Sul
Linha de Fornecimento 748: Estudos e Projetos de Rodovias,Município 9814: Corumbiara
"Linha de Fornecimento 749: Estudos e Projetos de Ferrovias - Pátios e 
Terminais",Município 9822: ESTRELA VELHA
Linha de Fornecimento 750: Estudos e Projetos de Aeroportos,Município 9830: Catunda
Linha de Fornecimento 751: Ar Condicionado - Estudos e Projetos de Sistema,Município 9857: Jijoca de Jericoacoara
"Linha de Fornecimento 752: Estudos e Projetos de Sistemas de Ventilação e 
Exaustão Mecânica",Município 9873: Fortim
Linha de Fornecimento 753: Estudos e Projetos de Sistemas de Aquecimento,Município 9881: Herveiras
Linha de Fornecimento 754: Estudos e Projetos de Sistemas de Refrigeração,Município 9890: Ararendá
"Linha de Fornecimento 755: Estudos e Projetos de Sistemas de Tubulações 
Industriais",Município 9903: ITAARA
"Linha de Fornecimento 756: Estudos e Projetos de Sistemas de Proteção 
Contra Incêncio",Município 9911: Itaitinga
Linha de Fornecimento 757: Estudos e Projetos de Instrumentação e Controle,Município 9920: JARI
"Linha de Fornecimento 758: ESTUDOS E PROJETOS DE SUBESTAÇÕES DE ENERGIA 
ELÉTRICA",Município 9938: Choró
"Linha de Fornecimento 759: ESTUDOS E PROJETOS DE INSTALAÇÃO DE LINHAS DE 
TRANSMISSÃO DE ENERGIA ELÉTRICA",Município 9954: Coivaras
"Linha de Fornecimento 760: Estudos e Projetos de Instalação de Linhas de 
distribuiçãoEnergia Elétrica",Município 9970: Jardim do Mulato
"Linha de Fornecimento 761: Estudos e Projetos de Sistemas de Aterramento e 
Proteção Contra Descarga Atmosféricas",Município 9989: MARQUES DE SOUZA
"Linha de Fornecimento 762: Estudos e Projetos de Telecomunicações - 
Transmissão",Município 9997: Lagoa Alegre
Linha de Fornecimento 763: Estudos e Projetos de Comutação Telefônica,Município 10014: Agricolândia
Linha de Fornecimento 764: Estudos e Projetos de Comutação Telegráfica,Município 10022: MUITOS CAPOES
Linha de Fornecimento 765: Estudos e Projetos de Comunicação de Dados,Município 10030: Água Branca
Linha de Fornecimento 766: Estudos e Projetos de Redes de Telecomunicações,Município 10049: NOVA CANDELARIA
"Linha de Fornecimento 767: Estudos e Projetos de Sistemas de Sinalização 
Ferroviária",Município 10057: Alto Longa
"Linha de Fornecimento 768: Estudos e Projetos de Sistemas de Sinalização 
Marítima",Município 10065: Nova Ramada
"Linha de Fornecimento 769: Estudos e Projetos de Sistemas de Sinalização 
Rodoviária",Município 10073: Altos
"Linha de Fornecimento 770: Estudos e Projetos de Sistemas de Sinalização 
Aérea",Município 10081: NOVO CABRAIS
Linha de Fornecimento 771: Estudos e Projetos de Indústria Naval,Município 10090: Amarante
Linha de Fornecimento 772: Auditoria em Área Contábil,Município 10103: PASSA SET
Linha de Fornecimento 773: Auditoria em Área Fiscal,Município 10111: Angical do Piauí
Linha de Fornecimento 774: Auditoria em Área Tributária,Município 10120: SENADOR SALGADO FILHO
Linha de Fornecimento 775: Auditoria em Área de Projetos,Município 10138: Anisio de Abreu
Linha de Fornecimento 776: Auditoria em Área de Administração,Município 10146: SETE DE SETEMBRO
Linha de Fornecimento 777: Auditoria em Área de Processamento de Dados,Município 10154: Antonio Almeida
Linha de Fornecimento 778: Consultoria e Assessoria - Organização e Métodos,Município 10162: TABAI
Linha de Fornecimento 779: Consultoria e Assessoria - Econômico / Financeira,Município 10170: Aroazes
Linha de Fornecimento 780: Consultoria e Assessoria - Contábil,Município 10189: Toropi
Linha de Fornecimento 781: Consultoria e Assessoria - Fiscal,Município 10197: Arraial
Linha de Fornecimento 782: Consultoria e Assessoria - Tributária,Município 10200: TURUÇU
Linha de Fornecimento 783: Consultoria e Assessoria - Jurídica,Município 10219: Avelino Lopes
Linha de Fornecimento 784: Consultoria / Assessoria - Engenharia,Município 10227: UBIRETAMA
Linha de Fornecimento 785: Consultoria e Assessoria - Meio Ambiente,Município 10235: Barras
Linha de Fornecimento 786: Consultoria e Assessoria - Qualidade,Município 10243: UNISTALDA
Linha de Fornecimento 787: Consultoria e Assessoria - Informática,Município 10251: Barreiras do Piauí
Linha de Fornecimento 788: Consultoria e Assessoria - Recursos Humanos,Município 10260: VALE VERDE
"Linha de Fornecimento 789: Consultoria e Assessoria - Administração de 
Material",Município 10278: Barro Duro
Linha de Fornecimento 790: Comissionamento,Município 10286: VESPASIANO CORREA
"Linha de Fornecimento 791: Perícia, Laudo e Avaliação",Município 10294: Batalha
Linha de Fornecimento 792: Pesquisa de Mercado,Município 10308: VILA LANGARO
Linha de Fornecimento 793: Propaganda e Publicidade,Município 10316: Beneditinos
Linha de Fornecimento 794: Seguro / Garantia,Município 10324: CAMPOS DE JULHO
Linha de Fornecimento 795: Topografia de Faixas,Município 10332: Bertolina
Linha de Fornecimento 796: Topografia de Áreas,Município 10340: CARLINDA
Linha de Fornecimento 797: Aerofotogrametria,Município 10359: Bocaina
Linha de Fornecimento 798: Sensoriamento Remoto,Município 10367: FELIZ NATAL
Linha de Fornecimento 799: Batimetria,Município 10375: Bom Jesus
Linha de Fornecimento 800: Sondagens Terrestres a Percussão / Rotativo,Município 10391: Buriti dos Lopes
Linha de Fornecimento 801: Sondagens Terrestres Rotativas,Município 10405: NOVA LACERDA
Linha de Fornecimento 802: Sondagens Subaquáticas,Município 10413: Campínas do Piauí
Linha de Fornecimento 803: Ensaio Geotécnico,Município 10421: NOVA UBIRATÃ
Linha de Fornecimento 804: Mapeamento Geológico,Município 10430: Campo Maior
Linha de Fornecimento 805: Pesquisa Mineral,Município 10448: NOVO MUNDO
Linha de Fornecimento 806: Análise Dinâmica de Bases de Equipamentos,Município 10456: Canto do Buriti
Linha de Fornecimento 807: Manutenção / Análise Dinâmica de Estruturas,Município 10464: Sapezal
Linha de Fornecimento 808: Sismologia,Município 10472: Capitão de Campos
Linha de Fornecimento 809: Controle Tecnológico de Concreto,Município 10480: UNIAO DO SUL
Linha de Fornecimento 810: Controle Tecnológico de Pavimentação,Município 10499: Caracol
Linha de Fornecimento 811: Controle Tecnológico de Materiais de Construção,Município 10502: Abadia de Goiás
Linha de Fornecimento 812: Jateamento,Município 10510: Castelo do Piauí
Linha de Fornecimento 813: Pintura Industrial,Município 10529: Águas Lindas de Goiás
Linha de Fornecimento 814: Galvanização,Município 10537: Cocal
Linha de Fornecimento 815: Metalização / Anodização,Município 10545: AMRALINA
Linha de Fornecimento 816: Cromação,Município 10553: Conceição do Canindé
"Linha de Fornecimento 817: Proteção de Superfícies por Revestimento 
Polimérico",Município 10570: Corrente
Linha de Fornecimento 818: Proteção Catódica,Município 10588: NOVO GAMA
"Linha de Fornecimento 819: Ensaios Radiográficos, Ultra-Som, Líquido 
Penetrante e Partículas Magnéticas",Município 10596: Cristalândia do Piauí
Linha de Fornecimento 820: Ensaios Mecânicos,Município 10600: Porteirão
Linha de Fornecimento 821: Ensaio e Análises Químicas,Município 10618: Cristino Castro
Linha de Fornecimento 822: Ensaios Elétricos,Município 10634: Curimatã
Linha de Fornecimento 823: Ensaios Eletrônicos,Município 10642: SÃO PATRÍCIO
Linha de Fornecimento 824: Ensaios Metalúrgicos,Município 10650: Demerval Lobão
"Linha de Fornecimento 825: Inspeções e Testes em Materiais e Equipamentos 
Elétricos",Município 10669: Valparaiso de Goiás
"Linha de Fornecimento 826: Inspeções e Testes em Equipamentos Elétricos em 
Operação",Município 10677: Dom Expedito Lopes
Linha de Fornecimento 827: Prova de Carga,Município 10685: Vila Propício
Linha de Fornecimento 828: Desenvolvimento e Nacionalização de Produtos,Município 10693: Elesbão Veloso
Linha de Fornecimento 829: Subaquático (Mergulho),Município 10715: Eliseu Martins
"Linha de Fornecimento 830: Informática - Manutenção/Instalação 
Sistemas/Periféricos",Município 10731: Esperantina
Linha de Fornecimento 831: Informática - Programas Fechados (Software),Município 10740: IPIRANGA DE GOIAS
Linha de Fornecimento 832: Informática - Serviço de Bureau,Município 10758: Flores do Piauí
"Linha de Fornecimento 833: Informática - Administração e Operação em 
Processamento deDados",Município 10766: Lagoa Santa
Linha de Fornecimento 834: Regeneração de Lubrificantes,Município 10774: Floriano
Linha de Fornecimento 835: Regeneração de Óleo Isolante,Município 10782: BOM JESUS DO ARAGUAIA
Linha de Fornecimento 836: Recuperação de Óleo Isolante,Município 10790: Francinópolis
"Linha de Fornecimento 837: Incineração / Aterramento - Resíduos Industriais 
/ Lixo Especial",Município 10804: COLNIZA
"Linha de Fornecimento 838: Supervisão / Gerenciamento / Fiscalização - 
Projeto Constru-ção / Obras Civis",Município 10812: Francisco Ayres
Linha de Fornecimento 839: Obras Civis de Parques e Praças,Município 10820: CONQUISTA D´OESTE
Linha de Fornecimento 840: Obras Civis de Reflorestamento,Município 10839: Francisco Santos
Linha de Fornecimento 841: Obras Civis Execução de Desmatamento,Município 10847: CURVELÂNDIA
Linha de Fornecimento 842: Obras Civis de Terraplenagem,Município 10855: Fronteiras
Linha de Fornecimento 843: Obras Civis de Pavimentação de Concreto,Município 10871: Gilbués
Linha de Fornecimento 844: Obras Civis de Pavimentação Asfáltica,Município 10880: NOVA SANTA HELENA
Linha de Fornecimento 845: Obras Civis de Pavimentação Poliedrica,Município 10898: Guadalupe
Linha de Fornecimento 846: Obras Civis de Pavimentação de Paralelepípedo,Município 10901: NOVO SANTO ANTONIO
Linha de Fornecimento 847: Obras Civis de Rebaixamento de Lençol D´água,Município 10910: Hugo Napoleão
Linha de Fornecimento 848: Obras Civis de Fundações Diretas,Município 10928: RONDOLANDIA
Linha de Fornecimento 849: Obras Civis de Fundações em Estacas de Concreto,Município 10936: Inhuma
Linha de Fornecimento 850: Obras Civis de Fundações em Estacas Metálicas,Município 10944: SANTA CRUZ DO XINGU
